Cod_Alu;Facultad;Escuela;Periodo;Ciclo;Sexo;Edad;Modalidad Academica
ALU_07680;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;3;F;20;Pregrado
ALU_11335;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;2;M;19;Pregrado
ALU_10626;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;3;F;23;Pregrado
ALU_07677;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;3;F;20;Pregrado
ALU_01643;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;4;F;26;Pregrado
ALU_04425;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;5;M;22;Pregrado
ALU_11338;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;2;F;20;Pregrado
ALU_01796;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;5;F;24;Pregrado
ALU_02987;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;5;F;24;Pregrado
ALU_11345;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;2;M;21;Pregrado
ALU_04746;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;4;M;21;Pregrado
ALU_07659;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;3;M;20;Pregrado
ALU_02982;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;5;F;21;Pregrado
ALU_02981;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;5;M;21;Pregrado
ALU_02986;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;5;F;23;Pregrado
ALU_00444;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;5;M;31;Pregrado
ALU_11323;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;2;F;21;Pregrado
ALU_04770;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;4;F;20;Pregrado
ALU_11327;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;2;F;20;Pregrado
ALU_04748;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;4;M;21;Pregrado
ALU_04788;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;4;F;21;Pregrado
ALU_07661;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;3;M;20;Pregrado
ALU_00439;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;5;M;28;Pregrado
ALU_04754;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;4;F;24;Pregrado
ALU_07668;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;3;M;25;Pregrado
ALU_01794;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;5;F;25;Pregrado
ALU_00317;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;5;F;30;Pregrado
ALU_00411;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;4;F;30;Pregrado
ALU_04751;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;4;F;27;Pregrado
ALU_04750;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;4;M;20;Pregrado
ALU_04752;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;4;F;21;Pregrado
ALU_04781;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;4;F;21;Pregrado
ALU_00325;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;5;M;32;Pregrado
ALU_07670;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;3;F;30;Pregrado
